date,event_type,description,impact_direction,impact_magnitude,impact_sign
2008-01-01,regulation,Russia citrus export protocol renewed,up,1,1
2008-01-15,frost,Antalya region severe frost,up,3,1
2009-07-01,regulation,EU customs union extended to more agricultural goods,down,1,-1
2012-02-01,frost,Mediterranean cold wave,up,2,1
2014-08-01,sanction,Russia EU/US food embargo — demand for Turkish citrus rose,up,3,1
2015-11-24,sanction,Russia–Turkey crisis — citrus exports halted,down,3,-1
2016-01-10,frost,Finike region frost damage,up,2,1
2016-06-29,sanction,Russia–Turkey relations begin to normalize,up,2,1
2017-01-01,regulation,Russia citrus exports fully reopened,up,2,1
2018-08-01,economic,"TRY crisis — FX surge, input costs rose",up,3,1
2019-01-08,frost,Western Mediterranean frost — ~15% crop loss,up,2,1
2019-07-01,economic,Central Bank rate cut — TRY weakness continued,up,1,1
2019-10-01,trade,Turkey Syria operation — strained ties with some markets,down,1,-1
2020-03-15,pandemic,"COVID-19 — logistics disruption, hal closures",up,2,1
2020-05-01,supply,"COVID — seasonal labor shortage, harvest delay",up,2,1
2020-06-01,pandemic,Post-COVID demand surge — healthy-eating trend,up,1,1
2021-02-15,frost,Antalya snowfall — citrus damage,up,2,1
2021-03-01,trade,Suez Canal blockage — sea freight disrupted,up,1,1
2021-07-01,supply,Antalya forest fires — some orchards affected,up,1,1
2021-12-01,economic,Sharp TRY depreciation — input + transport cost spike,up,3,1
2022-02-24,sanction,Russia–Ukraine war — pivot to Turkish citrus,up,2,1
2022-06-01,regulation,Russia port restrictions — alternative-route cost,up,1,1
2022-06-01,economic,Diesel and fertilizer prices up 100%+,up,3,1
2023-01-01,regulation,Iraq raised customs duty — export cost increased,down,2,-1
2023-02-06,supply,Kahramanmaraş earthquake — Hatay citrus region affected,up,2,1
2023-06-01,economic,Central Bank returns to orthodox policy — TRY stabilizes,down,1,-1
2023-07-01,economic,Minimum wage hike — labor cost up,up,1,1
2023-09-01,supply,Mediterranean drought — water restrictions,up,2,1
2023-10-07,trade,Israel–Gaza conflict — competing exporter sidelined,up,2,1
2024-01-01,regulation,EU pesticide MRLs tightened,down,1,-1
2024-01-01,economic,Minimum wage +49% — harvest labor cost,up,2,1
2024-01-20,frost,Mersin–Adana frost — early harvest disrupted,up,2,1
2024-04-01,supply,Finike region hail damage,up,1,1
2024-09-01,regulation,Egypt increased citrus export subsidies,down,2,-1
2024-12-01,trade,Red Sea crisis — freight cost surge,up,1,1
2025-01-01,economic,Minimum wage +30%,up,1,1
2025-01-10,frost,Eastern Mediterranean cold front — limited citrus damage,up,1,1
2025-02-20,economic,CBRT continues orthodox tightening — TRY stable,down,1,-1
2025-03-15,regulation,EU MRL revision for citrus pesticides — tighter limits,down,1,-1
2025-04-15,economic,Türkiye annual inflation eases below 40% — input pressure off,down,1,-1
2025-05-15,trade,Suez disruption easing — shipping costs normalising,down,1,-1
2025-06-01,regulation,Russia phytosanitary inspections tightened on Turkish citrus,down,1,-1
2025-07-01,economic,Mid-year minimum wage adjustment — labor cost up,up,1,1
2025-08-05,supply,Antalya summer heat wave — fruit-sizing concern,up,1,1
2025-09-15,regulation,Türkiye-Gulf trade agreement — fresh-produce duty cut,up,2,1
2025-10-10,economic,Diesel price surge — transport cost spike,up,2,1
2025-10-25,supply,Mediterranean drought stress on early-season citrus,up,2,1
2025-11-20,frost,Early-season Mediterranean cold snap — frost watch issued,up,2,1
2025-12-05,trade,Gulf demand surge ahead of holiday season,up,1,1
2026-01-01,economic,Minimum wage 2026 hike — harvest labor cost,up,1,1
2026-01-15,frost,Antalya region cold spell — localised orchard damage,up,2,1
2026-02-01,regulation,EU CBAM consultations include agricultural inputs,down,1,-1
2026-02-15,trade,Egypt export quota raised — additional Mediterranean competition,down,2,-1
2026-03-10,economic,TRY weakness resumes — imported input costs rising,up,2,1
2026-04-10,supply,Spring rains restore Mediterranean soil moisture,down,1,-1
